"carat","clarity","color","cut","price"
1.23,"SI1","H","Ideal",7313
2.12,"SI2","J","Premium",12140
0.31,"IF","G","Ideal",988
0.72,"SI2","F","Ideal",2674
0.56,"VVS1","D","Ideal",3465
0.71,"VVS1","G","Ideal",2982
1.32,"VS1","G","Ideal",9979
0.72,"SI1","H","Ideal",2359
0.52,"VS1","D","Ideal",1707
0.24,"VVS1","F","Very Good",552
0.53,"SI1","E","Ideal",1607
1.51,"VS2","H","Very Good",10950
1.13,"SI2","D","Premium",5280
0.79,"SI1","F","Ideal",2878
0.31,"IF","H","Ideal",816
0.38,"VS2","E","Ideal",805
1.17,"SI1","J","Premium",4423
1.09,"SI1","D","Premium",5799
0.52,"SI1","F","Very Good",1261
0.36,"VS2","E","Premium",1013
1.28,"SI1","G","Ideal",7598
0.4,"SI1","E","Very Good",725
0.33,"VS2","G","Premium",743
1.19,"SI1","J","Very Good",5390
1.06,"SI1","F","Ideal",5758
1.7,"VS2","E","Good",15385
0.3,"SI1","G","Ideal",422
0.55,"VS2","J","Very Good",1179
0.33,"VVS2","I","Good",743
0.78,"VS2","E","Ideal",3159
0.9,"SI1","G","Ideal",4452
0.33,"VS2","J","Premium",450
0.72,"VS1","G","Premium",2607
0.3,"VVS1","E","Ideal",956
0.77,"SI2","H","Ideal",2302
0.79,"SI2","D","Premium",2735
0.9,"SI2","E","Very Good",3342
1.06,"SI2","H","Ideal",4402
1.5,"SI2","F","Good",9028
0.79,"SI1","F","Ideal",3081
0.33,"VS2","I","Ideal",480
0.91,"VS1","J","Ideal",3267
0.41,"SI1","H","Very Good",683
0.6,"SI1","G","Very Good",1554
0.9,"SI2","G","Premium",3175
0.36,"VVS1","H","Ideal",794
0.51,"SI1","E","Ideal",1546
0.42,"VVS2","E","Good",1042
1.11,"SI1","E","Ideal",7218
1.03,"SI2","E","Premium",4328
0.35,"VVS1","F","Very Good",966
0.5,"VVS2","G","Very Good",1838
1.63,"SI1","I","Very Good",9090
0.24,"VVS2","F","Ideal",552
0.32,"SI1","D","Very Good",589
1.22,"SI1","I","Premium",5671
0.9,"VS1","H","Premium",4234
1.07,"VS2","J","Good",4602
1.19,"VS1","G","Premium",7797
0.5,"SI1","G","Very Good",1286
0.51,"SI1","E","Very Good",1402
1.52,"SI2","I","Fair",6905
0.31,"VS2","F","Good",583
1.6,"SI2","F","Premium",8530
1,"VS2","G","Very Good",5385
0.5,"VS2","E","Premium",1559
2.01,"SI1","H","Premium",17235
0.7,"VS1","H","Premium",2364
0.93,"SI1","F","Premium",4182
0.73,"SI2","E","Very Good",2359
1.56,"SI1","D","Premium",12226
0.51,"SI1","F","Premium",1308
1.22,"SI2","H","Ideal",5703
0.56,"VS1","E","Ideal",2075
0.38,"SI1","F","Premium",838
1.09,"SI1","H","Good",4784
0.52,"SI1","D","Premium",1720
0.96,"SI2","E","Fair",3533
0.3,"VS2","D","Ideal",710
0.32,"VS1","G","Ideal",614
0.7,"SI1","E","Ideal",2575
1.01,"SI1","F","Very Good",6075
0.3,"VS1","D","Ideal",661
0.95,"SI2","I","Good",2956
0.27,"SI1","G","Ideal",426
0.3,"SI2","E","Ideal",401
0.51,"VS1","G","Premium",1656
1.01,"SI1","F","Ideal",4969
0.42,"VS1","F","Premium",1031
0.51,"SI1","G","Fair",1160
0.3,"VS2","D","Ideal",710
1.04,"SI1","J","Ideal",4059
0.5,"SI1","E","Very Good",1337
1.18,"SI1","G","Ideal",6112
1.01,"SI2","E","Very Good",4566
0.32,"VVS2","G","Ideal",730
0.32,"VS2","F","Ideal",781
0.43,"VS1","I","Ideal",789
0.57,"VS1","G","Ideal",1949
0.39,"SI2","G","Ideal",716
1.51,"SI1","E","Very Good",12224
2.14,"SI2","I","Premium",15915
0.71,"SI1","D","Premium",2822
1.01,"SI1","E","Ideal",6132
1.55,"SI2","H","Very Good",8174
0.29,"VVS1","G","Ideal",607
0.9,"VS2","I","Premium",3398
0.42,"VVS2","D","Ideal",1223
2.51,"SI2","H","Premium",14543
1.2,"SI1","I","Good",4752
0.24,"VVS1","E","Ideal",752
0.53,"VS2","G","Ideal",1607
0.92,"VS1","I","Premium",3725
1.09,"SI2","D","Very Good",4322
0.7,"VS2","G","Very Good",3026
0.9,"VS1","G","Very Good",4116
0.5,"SI1","E","Ideal",1409
0.32,"SI1","H","Good",461
0.7,"SI1","F","Premium",2423
1.08,"SI2","E","Good",4742
0.72,"SI1","E","Premium",2385
1.01,"SI1","F","Good",4276
2,"SI1","H","Very Good",13320
0.35,"SI1","H","Ideal",523
0.78,"SI1","I","Good",2116
0.79,"VS2","E","Premium",3628
0.32,"VS2","G","Very Good",720
0.52,"SI1","E","Premium",1605
1.06,"SI1","F","Ideal",5834
0.91,"SI1","G","Premium",3763
0.35,"VS2","H","Ideal",571
0.3,"VVS1","G","Ideal",764
0.31,"SI1","D","Ideal",541
0.56,"VS2","J","Ideal",1280
0.39,"VVS2","D","Very Good",1232
0.52,"SI1","H","Ideal",1206
1.02,"VVS2","D","Ideal",11765
0.3,"VS1","H","Ideal",675
0.93,"SI2","F","Good",3896
0.91,"VS1","G","Premium",4459
0.29,"VVS2","H","Very Good",541
1.01,"SI2","G","Good",4047
0.32,"IF","E","Ideal",1300
0.72,"SI1","H","Ideal",2354
1.01,"SI1","G","Very Good",4653
0.58,"SI2","F","Ideal",1239
1.23,"VS1","J","Premium",5304
0.3,"VVS1","E","Ideal",826
0.52,"SI2","G","Premium",1076
0.26,"VS1","E","Premium",580
0.7,"SI1","F","Good",2423
0.42,"VVS1","F","Ideal",1223
0.4,"VVS2","D","Very Good",1263
0.43,"SI1","G","Ideal",968
0.9,"SI1","I","Premium",2947
0.9,"VS1","H","Very Good",4136
1.03,"SI2","D","Fair",3743
1.11,"SI2","J","Ideal",4092
0.63,"SI1","E","Very Good",1952
1,"SI1","D","Fair",5331
0.5,"SI1","H","Premium",1156
1.21,"SI2","F","Ideal",5028
0.3,"VVS1","G","Very Good",789
0.42,"VS2","G","Premium",1087
1.51,"SI2","J","Good",6215
0.32,"VS2","H","Ideal",648
0.58,"VS2","G","Ideal",1558
0.3,"VS1","I","Good",473
1.01,"VS2","G","Good",5701
1.01,"SI1","D","Premium",5543
1.04,"VS2","D","Very Good",7653
2.1,"I1","G","Fair",6597
0.4,"VVS2","G","Good",974
0.4,"SI1","D","Premium",924
1.01,"VS1","F","Very Good",7455
1,"VS1","I","Very Good",4641
1.01,"SI1","E","Very Good",5759
0.25,"VS2","E","Ideal",535
0.77,"VS2","G","Very Good",2896
0.51,"VS2","D","Ideal",1882
0.7,"VS2","F","Very Good",2593
0.8,"SI1","I","Very Good",2473
0.32,"VS1","G","Ideal",645
0.24,"VVS2","F","Ideal",678
0.79,"SI2","G","Very Good",2482
0.3,"SI1","H","Ideal",450
0.31,"VVS1","H","Ideal",707
0.59,"VS2","F","Very Good",1723
1.5,"VS2","F","Premium",14372
0.3,"VVS2","G","Good",684
0.3,"VS1","E","Very Good",578
1.29,"VS1","H","Ideal",8887
0.71,"VS2","F","Ideal",2780
0.7,"IF","J","Premium",2150
0.3,"VS2","D","Premium",911
1.52,"VS1","E","Very Good",16485
0.9,"SI1","E","Good",3274
0.41,"SI2","F","Ideal",612
1.21,"SI2","H","Ideal",5624
0.3,"VS2","E","Ideal",658
0.32,"VS2","F","Ideal",828
1.06,"SI1","F","Premium",5142
1,"VS2","G","Premium",6048
1.02,"SI2","H","Ideal",4319
0.61,"SI1","E","Premium",1812
1.32,"I1","E","Premium",5027
0.52,"VS2","F","Very Good",1600
0.36,"VS2","E","Premium",1080
0.9,"VS2","I","Very Good",3709
0.32,"VS2","F","Very Good",602
0.38,"VS2","F","Ideal",871
1.01,"VS2","F","Premium",7277
0.73,"SI2","D","Ideal",2683
0.31,"VVS1","F","Very Good",777
1.12,"SI2","H","Very Good",4498
1.04,"VS2","G","Ideal",6628
0.7,"VS1","D","Ideal",4323
0.51,"SI2","D","Good",1232
2.14,"SI2","I","Good",14452
0.38,"VS2","F","Ideal",693
0.9,"SI2","E","Fair",3342
0.26,"VVS1","F","Ideal",599
0.7,"SI1","H","Ideal",2240
1.71,"SI2","J","Ideal",7695
0.83,"SI1","J","Premium",2022
0.31,"VS2","F","Premium",625
0.95,"VS1","J","Very Good",3365
0.72,"SI1","G","Ideal",2548
1.27,"SI2","I","Premium",4836
0.46,"IF","G","Ideal",1654
0.3,"VS2","D","Premium",710
1.5,"SI1","F","Very Good",10479
1.09,"SI2","F","Ideal",5016
0.9,"SI1","E","Good",4190
0.53,"IF","G","Ideal",2247
2.17,"SI1","I","Ideal",17747
1.35,"VS2","I","Very Good",6961
0.41,"SI2","G","Ideal",659
1.11,"VS2","H","Premium",5395
0.38,"SI1","F","Ideal",660
0.51,"VVS1","G","Ideal",1933
1.06,"SI2","D","Ideal",5159
1.54,"I1","H","Premium",4980
1.15,"SI2","F","Premium",4186
0.92,"SI1","F","Very Good",4037
1.53,"SI1","G","Premium",10830
0.41,"SI2","I","Very Good",692
0.33,"VS2","F","Premium",666
1.23,"VVS2","G","Ideal",9921
0.3,"IF","G","Premium",956
0.56,"SI1","E","Ideal",1698
0.4,"VVS2","E","Fair",1069
1,"SI1","E","Very Good",5051
0.33,"SI1","D","Ideal",780
0.71,"SI1","I","Ideal",2178
0.5,"SI1","I","Ideal",1031
0.31,"VVS2","D","Ideal",982
2,"SI2","G","Good",10416
0.73,"SI1","E","Good",2871
1.01,"VS2","G","Ideal",6504
0.33,"VS2","D","Very Good",660
0.91,"VS2","H","Premium",3921
0.55,"SI2","D","Very Good",1295
1.14,"VS2","H","Premium",5700
0.58,"SI1","H","Very Good",1219
0.52,"VS2","F","Ideal",1629
0.34,"VS1","D","Ideal",749
1.08,"SI1","G","Premium",5044
2.01,"SI1","I","Ideal",16287
0.43,"SI1","E","Ideal",803
0.71,"SI1","E","Very Good",2573
0.81,"SI2","I","Ideal",2386
0.35,"VS2","E","Ideal",767
1.2,"VVS1","F","Good",10982
2.24,"SI2","I","Premium",15375
1.28,"SI1","I","Premium",6093
0.51,"SI2","F","Premium",1227
0.31,"VS2","E","Ideal",872
0.3,"SI2","H","Good",485
0.33,"VS2","D","Premium",781
0.71,"VS2","D","Very Good",3222
1,"VS2","G","Fair",5161
0.7,"VS2","F","Very Good",2780
0.42,"SI1","E","Very Good",773
0.38,"SI1","G","Ideal",855
1.24,"SI1","J","Very Good",5231
1.09,"VS2","H","Ideal",5732
0.44,"VVS2","E","Ideal",1334
0.35,"SI1","D","Very Good",827
1,"SI2","I","Ideal",3629
0.32,"SI1","E","Good",564
0.8,"SI1","D","Premium",3441
0.9,"VS1","H","Fair",3500
0.44,"VS2","J","Ideal",828
0.5,"SI1","E","Good",1316
1.01,"SI1","D","Fair",4751
0.36,"VVS1","H","Ideal",1053
1.25,"VS2","G","Premium",7948
1.56,"SI2","H","Ideal",9081
1,"VVS2","H","Premium",4312
1.13,"SI2","F","Good",4025
0.41,"SI1","H","Good",683
0.79,"SI1","H","Premium",2420
1.5,"SI2","H","Good",7161
0.42,"VVS1","I","Ideal",945
1.05,"VS2","G","Ideal",6562
0.24,"VS1","F","Very Good",393
0.31,"IF","G","Ideal",853
1.21,"VS1","F","Premium",8196
1.55,"SI2","H","Premium",7319
0.72,"SI1","F","Ideal",3004
0.91,"SI2","F","Premium",2564
1.24,"SI1","E","Good",7563
0.32,"IF","G","Ideal",954
0.7,"SI1","F","Ideal",2662
1.53,"SI1","G","Premium",11421
1.5,"SI1","E","Ideal",10777
0.5,"VVS1","G","Ideal",1865
0.3,"VS2","D","Ideal",710
0.7,"I1","G","Fair",1069
0.71,"SI1","F","Fair",2198
0.23,"IF","E","Very Good",492
0.31,"SI1","D","Ideal",571
2.01,"SI2","J","Premium",12407
0.4,"IF","G","Ideal",1333
0.31,"VS2","H","Ideal",628
1.01,"VS1","D","Good",8339
0.31,"SI2","H","Ideal",421
1.11,"SI2","H","Very Good",4584
0.34,"VS2","D","Ideal",687
0.37,"VS1","G","Very Good",657
0.34,"VS2","D","Ideal",967
1.5,"SI1","J","Very Good",6987
0.51,"VS1","H","Very Good",1628
1.5,"VVS1","I","Premium",11155
0.3,"VVS1","H","Ideal",878
0.91,"SI2","F","Premium",3682
1.05,"SI2","I","Premium",4374
1.4,"VVS2","G","Ideal",14231
1.03,"VS2","G","Premium",5826
0.64,"SI1","I","Very Good",1390
1.17,"SI2","I","Ideal",4999
1.06,"VS2","D","Ideal",6981
0.71,"SI2","F","Premium",2343
0.33,"IF","I","Ideal",891
0.62,"SI1","F","Premium",1595
0.32,"VVS2","F","Ideal",945
2.04,"SI1","H","Premium",12341
0.39,"VVS1","J","Very Good",718
0.53,"VS2","E","Ideal",1813
0.37,"VVS2","F","Premium",948
0.31,"VS2","F","Good",749
0.9,"VS1","E","Premium",5116
0.41,"SI1","D","Ideal",791
0.41,"SI1","E","Very Good",755
0.31,"SI1","H","Good",446
1,"VS2","G","Premium",5806
0.32,"IF","F","Ideal",915
0.28,"VS2","I","Very Good",379
0.33,"IF","G","Good",984
0.92,"SI2","D","Very Good",3613
0.51,"VS1","E","Very Good",1839
1.2,"SI1","I","Very Good",5226
0.53,"VVS2","F","Ideal",2045
0.9,"SI1","G","Premium",4455
0.85,"SI2","H","Ideal",2635
2.05,"SI2","I","Premium",9850
0.7,"VS2","F","Very Good",2552
1.61,"SI1","F","Premium",8024
0.77,"VS2","G","Ideal",3544
1.11,"SI2","I","Premium",3692
2.08,"SI1","H","Ideal",18760
0.31,"VS2","E","Premium",680
1.64,"SI2","J","Very Good",7409
0.31,"VVS1","H","Ideal",687
1.51,"SI1","I","Ideal",8400
0.43,"VS1","H","Ideal",868
0.32,"VS1","F","Ideal",716
0.74,"SI2","D","Very Good",2713
0.32,"SI2","F","Very Good",540
0.91,"VVS2","G","Very Good",4913
0.38,"VS2","E","Ideal",813
0.55,"VVS2","G","Ideal",2064
1.11,"SI1","H","Ideal",5854
1.51,"SI1","G","Ideal",11917
0.71,"VS2","D","Ideal",3222
1.27,"VVS1","F","Premium",13320
0.74,"SI2","F","Very Good",2298
0.52,"SI1","H","Ideal",1214
1.48,"SI1","H","Very Good",8815
0.3,"VVS2","H","Ideal",776
0.35,"VS2","D","Very Good",685
0.78,"VS2","F","Ideal",3259
0.72,"VS2","H","Ideal",3018
0.38,"VVS2","D","Ideal",1096
0.28,"VS1","H","Very Good",429
0.5,"SI2","G","Ideal",1038
0.53,"VVS2","H","Ideal",1674
0.75,"SI2","H","Very Good",2180
0.61,"SI1","H","Premium",1382
0.57,"VS1","J","Premium",1606
0.31,"VS1","E","Ideal",942
0.76,"VVS1","H","Ideal",3363
1.08,"SI1","I","Ideal",5049
0.9,"VS2","F","Good",4778
0.25,"IF","E","Very Good",633
0.79,"SI2","D","Very Good",2823
0.51,"VS1","F","Very Good",1604
0.4,"VVS2","D","Ideal",1263
0.3,"VS1","G","Ideal",776
0.32,"VS2","H","Ideal",529
0.26,"VS2","E","Very Good",601
1.63,"VS1","G","Ideal",16241
0.36,"VS2","H","Ideal",587
0.3,"VVS1","G","Premium",1013
1.1,"VVS2","F","Ideal",9817
0.9,"SI2","H","Good",3250
1.5,"SI2","H","Fair",7098
0.28,"VVS1","H","Ideal",586
0.41,"VVS1","E","Premium",1431
2.01,"SI2","D","Very Good",12639
0.45,"IF","G","Good",1437
0.78,"VS1","F","Very Good",3401
1.22,"SI1","F","Very Good",7372
1.64,"SI1","I","Very Good",9144
0.97,"SI2","H","Premium",3346
0.91,"SI2","D","Good",3781
1.24,"VS1","G","Good",9405
0.34,"SI1","E","Ideal",765
0.58,"SI1","H","Ideal",1184
1.21,"SI1","H","Very Good",6229
0.91,"VS2","H","Premium",4313
1.3,"SI2","D","Premium",7044
0.52,"SI1","G","Good",1244
0.31,"VVS1","H","Good",612
0.71,"SI2","G","Premium",1963
1.06,"VS1","G","Very Good",6707
0.42,"VS1","F","Ideal",1103
0.58,"VS1","F","Ideal",2227
0.32,"VS2","G","Premium",561
1,"VS2","E","Good",6776
0.54,"VVS2","G","Ideal",1927
1.35,"SI2","H","Very Good",6088
0.34,"IF","G","Ideal",1014
0.3,"SI1","H","Ideal",554
0.42,"VS2","E","Premium",958
0.32,"VS2","F","Ideal",645
1.03,"SI1","H","Very Good",5050
0.52,"VS2","G","Very Good",1423
0.4,"VVS2","G","Ideal",915
2.19,"SI2","E","Very Good",18067
0.49,"VS2","G","Very Good",1198
0.33,"VS2","G","Premium",743
0.33,"VVS2","G","Ideal",713
1.62,"SI1","F","Ideal",12828
1.22,"VS1","J","Ideal",6201
0.64,"VS2","E","Ideal",2238
1,"SI1","H","Good",4469
0.7,"VS2","E","Ideal",2981
0.72,"VVS1","H","Ideal",2946
0.33,"VS2","E","Very Good",675
0.25,"VS2","E","Very Good",480
1.02,"VS2","H","Premium",5454
2.01,"SI2","J","Premium",13133
0.3,"VVS2","E","Ideal",789
0.37,"VS2","E","Ideal",811
0.53,"VS1","E","Very Good",1909
0.35,"SI1","D","Ideal",827
1.36,"SI1","F","Good",7197
1.12,"SI1","G","Ideal",5551
0.33,"SI1","E","Ideal",743
1.25,"VVS2","H","Ideal",8036
0.3,"VS2","D","Premium",710
1.24,"VVS1","F","Very Good",11716
0.57,"VS2","E","Very Good",1826
0.52,"VVS2","F","Very Good",2035
1.21,"VS1","G","Ideal",8616
0.34,"SI1","E","Very Good",596
0.73,"VVS2","F","Ideal",3463
0.31,"VS2","G","Ideal",698
0.36,"VVS2","F","Ideal",1059
0.33,"VS2","E","Ideal",723
0.5,"VS2","E","Premium",1746
1.53,"SI1","I","Premium",8911
1,"SI2","I","Good",3528
0.9,"SI1","D","Very Good",5123
1.9,"SI2","H","Fair",8576
0.27,"VVS1","G","Ideal",627
0.8,"VVS2","G","Ideal",4740
0.54,"VS2","E","Ideal",1847
0.39,"VS1","E","Ideal",914
1.21,"SI2","G","Very Good",4887
1.2,"VS2","H","Ideal",6487
0.58,"SI1","F","Ideal",1442
0.33,"VVS2","G","Premium",752
0.33,"IF","G","Ideal",984
1.19,"VS1","I","Ideal",7328
1.2,"VVS2","G","Ideal",9373
0.71,"SI1","J","Very Good",1917
0.71,"VS1","E","Ideal",3212
0.73,"SI1","F","Good",2435
0.82,"SI2","F","Very Good",2841
1.02,"VS1","D","Premium",8181
0.3,"VS2","E","Very Good",658
1.52,"VVS1","G","Ideal",16343
0.73,"VS1","I","Ideal",2908
1.51,"SI1","G","Premium",11129
0.26,"VVS1","E","Very Good",597
0.34,"SI1","I","Very Good",459
0.32,"VVS1","G","Ideal",814
0.41,"SI2","E","Premium",876
0.92,"SI1","E","Premium",4482
0.91,"SI1","F","Ideal",4267
0.7,"VS1","E","Good",2657
1.07,"VS2","F","Ideal",7564
2.02,"SI2","E","Premium",13677
0.58,"SI2","D","Very Good",1438
1.01,"SI2","G","Very Good",3275
0.51,"VS2","E","Premium",1662
1.23,"SI2","I","Ideal",4773
0.42,"SI1","E","Premium",773
1,"VS2","D","Premium",7392
0.9,"SI1","G","Ideal",4161
1.56,"VVS2","G","Ideal",15609
0.9,"VS1","J","Very Good",3231
2.02,"SI2","I","Premium",13117
0.76,"VS2","D","Good",3443
0.4,"VVS2","H","Premium",877
1.3,"VS2","F","Premium",9909
1.05,"SI2","F","Premium",4363
1.01,"VS1","G","Premium",6221
0.26,"VVS1","F","Ideal",769
1.5,"SI2","I","Good",6364
0.32,"SI2","F","Good",421
0.71,"VVS1","I","Very Good",2572
1.2,"IF","G","Very Good",9987
0.72,"VS1","E","Ideal",3275
0.9,"SI2","D","Very Good",3632
0.3,"VS2","F","Very Good",605
0.42,"VS1","G","Very Good",921
0.7,"SI2","I","Good",1556
0.51,"VVS1","G","Premium",1971
1.01,"SI1","D","Ideal",5234
1.52,"VS2","J","Good",6982
0.41,"VVS2","D","Premium",1295
1.08,"VS2","H","Premium",5250
0.5,"VVS2","E","Good",2437
1.12,"VVS2","G","Ideal",10305
0.76,"SI1","E","Ideal",3584
0.9,"SI2","J","Very Good",2973
0.53,"SI1","H","Good",1242
1.22,"VS1","H","Ideal",7738
0.4,"SI2","E","Ideal",629
0.33,"VVS1","F","Good",764
0.71,"VVS2","F","Very Good",3354
0.38,"VVS1","H","Good",967
0.82,"SI1","F","Premium",3080
0.41,"VVS2","F","Ideal",1192
0.51,"SI1","D","Good",1255
1.59,"VS2","J","Very Good",8526
0.51,"VS1","G","Premium",1781
0.33,"VS1","G","Very Good",666
1.09,"VVS2","F","Ideal",10246
1.01,"VVS2","G","Ideal",8034
1.51,"SI2","G","Ideal",7103
0.32,"VS2","G","Premium",561
0.35,"SI2","F","Very Good",494
0.59,"VVS2","F","Ideal",2551
0.59,"VVS2","F","Very Good",2302
0.3,"VS1","E","Very Good",620
1.5,"SI2","I","Premium",7526
1.01,"SI2","D","Ideal",4785
0.36,"VS1","F","Ideal",775
0.72,"SI2","G","Premium",1764
0.24,"VS1","I","Very Good",397
0.86,"VS2","I","Ideal",3121
0.53,"VS1","F","Good",1688
0.9,"SI1","F","Fair",3326
1.24,"SI2","F","Premium",5889
0.3,"IF","G","Ideal",895
0.4,"VS2","D","Ideal",1050
1.2,"SI1","F","Premium",6250
0.51,"VS2","G","Good",1343
0.7,"SI1","F","Very Good",2312
0.31,"IF","G","Ideal",924
0.37,"VS2","E","Very Good",811
1.01,"VS1","G","Good",6613
1.01,"SI1","D","Good",5443
1.53,"SI2","I","Ideal",6255
1.41,"VS1","G","Ideal",11109
0.32,"VS2","G","Premium",561
1,"SI1","H","Ideal",4872
1.19,"SI2","E","Ideal",5497
0.7,"VS2","G","Very Good",2538
0.41,"SI1","D","Good",758
1.51,"SI1","J","Premium",7255
1.01,"VVS2","F","Very Good",8525
1.23,"SI1","I","Premium",5717
0.33,"VS1","G","Ideal",854
0.31,"VS2","E","Ideal",872
0.35,"VS1","G","Ideal",906
2.08,"SI2","H","Premium",12454
1.16,"SI1","H","Ideal",5554
1.11,"SI2","H","Premium",4538
2,"SI2","H","Premium",11975
1.21,"SI2","I","Premium",4391
0.56,"SI1","F","Very Good",1679
0.8,"VS2","J","Premium",2045
0.61,"VS1","F","Good",2120
0.31,"VS1","J","Premium",408
1.04,"VS2","G","Premium",6122
1.12,"SI2","G","Ideal",4222
0.56,"SI1","G","Premium",1441
1.01,"VVS2","D","Ideal",12996
0.5,"SI1","E","Very Good",1281
1,"VS2","F","Good",5592
0.71,"VS2","G","Ideal",2803
1.26,"SI2","H","Premium",4586
1.82,"I1","H","Fair",5993
0.42,"VS1","G","Premium",984
0.52,"VS2","E","Ideal",1644
0.71,"SI1","D","Good",2547
0.34,"VVS1","H","Premium",775
0.4,"VS1","I","Ideal",828
0.7,"SI1","E","Very Good",2537
0.38,"SI1","I","Ideal",593
0.8,"SI1","H","Premium",2553
0.51,"VS2","D","Good",1430
0.9,"VS2","H","Ideal",4871
0.36,"VS1","I","Ideal",729
0.33,"VS2","H","Ideal",539
1.5,"VS2","H","Ideal",10886
0.95,"SI1","F","Premium",4682
0.51,"SI1","E","Premium",1443
0.3,"SI1","H","Very Good",554
0.41,"VVS1","E","Ideal",1431
1.28,"SI1","J","Ideal",4967
0.28,"VVS1","F","Very Good",642
1.53,"VS2","G","Ideal",13369
0.3,"VS1","G","Ideal",524
1.52,"SI1","H","Premium",9527
0.53,"VS1","F","Ideal",1812
0.52,"SI1","I","Good",1073
0.71,"VS1","I","Very Good",2226
1.02,"SI2","D","Ideal",4044
1.18,"SI1","I","Premium",4956
1.02,"SI1","J","Very Good",3857
0.57,"VVS2","F","Ideal",2797
1.24,"VS1","H","Ideal",8299
0.32,"VS1","F","Ideal",716
0.43,"SI1","G","Ideal",789
0.24,"VVS1","F","Good",492
1.52,"SI2","F","Premium",8342
0.3,"SI1","F","Ideal",475
1.01,"IF","D","Premium",16234
0.35,"VS1","E","Good",938
1.02,"SI2","F","Premium",4238
0.67,"VS2","F","Good",2309
0.58,"VS1","F","Ideal",1772
0.9,"SI2","H","Premium",3326
1.02,"SI2","H","Ideal",4742
1.67,"VS2","I","Very Good",10165
0.32,"VS2","E","Ideal",900
1.72,"SI2","D","Very Good",12360
0.5,"VS2","F","Very Good",1357
1.4,"VS2","F","Premium",11368
1.09,"SI1","G","Ideal",5496
1.43,"VS2","G","Premium",10609
2.03,"SI2","G","Ideal",16505
1.58,"SI1","G","Ideal",11927
0.32,"SI1","J","Premium",468
0.3,"SI1","D","Premium",709
0.5,"SI2","E","Good",1077
0.31,"VS2","G","Ideal",544
1.02,"SI1","E","Ideal",4675
2.21,"SI2","J","Premium",12327
0.26,"VVS2","F","Very Good",597
1.51,"SI1","E","Good",11460
0.5,"SI1","E","Very Good",1331
0.7,"SI1","G","Premium",2352
0.65,"SI1","E","Ideal",1989
1.51,"VS1","I","Very Good",8918
1.27,"VVS2","J","Ideal",6430
1.5,"VS2","E","Premium",14925
0.32,"VVS2","G","Ideal",730
1.6,"SI1","F","Premium",12343
1.27,"SI2","J","Good",4542
1.16,"I1","H","Premium",2368
0.35,"VS2","F","Ideal",706
1.42,"SI1","E","Very Good",9278
1,"SI1","F","Fair",4798
0.53,"VS1","I","Ideal",1427
0.54,"VS2","E","Ideal",1754
0.33,"VVS2","G","Ideal",713
0.41,"VVS2","F","Ideal",1115
0.91,"SI1","F","Ideal",4801
0.35,"IF","H","Ideal",921
1.06,"SI2","I","Very Good",4132
1.21,"I1","I","Fair",2396
0.5,"SI1","D","Premium",1215
